,course,learning objectives,keywords_str
215,Simex outbreak management,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected.,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected, ."
216,Simex outbreak management,"Describe the clinical signs of FMD in cattle, small ruminants and pigs.","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ."
217,Simex outbreak management,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
218,Simex outbreak management,Describe how to age FMD lesions.,"Describe, age, FMD, lesions, ."
219,Simex Serbia (TTX) Contingency planning for laboratories ,"Plan a small scale simulation exercise of at least one type (table-top, drill, functional)","Plan, small, scale, simulation, exercise, least, one, type, (, table-top, ,, drill, ,, functional, )"
220,Simex Serbia (TTX) Contingency planning for laboratories ,"Explain the importance of simulation exercises for improving emergency preparedness, and the purposes for which they can be used","Explain, importance, simulation, exercises, improving, emergency, preparedness, ,, purposes, used"
221,Simex Serbia (TTX) Contingency planning for laboratories ,Explain the importance of setting the objectives before moving to the planning phase and develop a concept note for a simulation exercise,"Explain, importance, setting, objectives, moving, planning, phase, develop, concept, note, simulation, exercise"
222,Simex Serbia (TTX) Contingency planning for laboratories ,Draft an evaluation plan for a simulation exercise,"Draft, evaluation, plan, simulation, exercise"
223,Simex Serbia (TTX) Contingency planning for laboratories ,"Develop a needs-based, multi-year exercise programme using a progressive approach","Develop, needs-based, ,, multi-year, exercise, programme, using, progressive, approach"
224,Simex Serbia (TTX) Contingency planning for laboratories ,"Describe the tasks to be carried out by the different roles in any type of simulation exercise and assume an active role as director, facilitator, evaluator or player during the conduct of one type of simulation exercise (table-top, drill, functional) ","Describe, tasks, carried, different, roles, type, simulation, exercise, assume, active, role, director, ,, facilitator, ,, evaluator, player, conduct, one, type, simulation, exercise, (, table-top, ,, drill, ,, functional, )"
225,Simex tutored,"Plan a small scale simulation exercise of at least one type (table-top, drill, functional)","Plan, small, scale, simulation, exercise, least, one, type, (, table-top, ,, drill, ,, functional, )"
226,Simex tutored,"Explain the importance of simulation exercises for improving emergency preparedness, and the purposes for which they can be used","Explain, importance, simulation, exercises, improving, emergency, preparedness, ,, purposes, used"
227,Simex tutored,Explain the importance of setting the objectives before moving to the planning phase and develop a concept note for a simulation exercise,"Explain, importance, setting, objectives, moving, planning, phase, develop, concept, note, simulation, exercise"
228,Simex tutored,Draft an evaluation plan for a simulation exercise,"Draft, evaluation, plan, simulation, exercise"
229,Simex tutored,"Develop a needs-based, multi-year exercise programme using a progressive approach","Develop, needs-based, ,, multi-year, exercise, programme, using, progressive, approach"
230,Simex tutored,"Describe the tasks to be carried out by the different roles in any type of simulation exercise and assume an active role as director, facilitator, evaluator or player during the conduct of one type of simulation exercise (table-top, drill, functional)","Describe, tasks, carried, different, roles, type, simulation, exercise, assume, active, role, director, ,, facilitator, ,, evaluator, player, conduct, one, type, simulation, exercise, (, table-top, ,, drill, ,, functional, )"
231,Socio Impact Analysis ENG,use analytical tools and methods to investigate social and economic impacts of FAST and to assess economic justification of control plans and specific control measures;  ,"use, analytical, tools, methods, investigate, social, economic, impacts, FAST, assess, economic, justification, control, plans, specific, control, measures, ;"
232,Socio Impact Analysis ENG,interpret the outcomes of impact studies and report accordingly; ,"interpret, outcomes, impact, studies, report, accordingly, ;"
233,Socio Impact Analysis ENG,develop a frameworks to analyze the socioeconomic impacts of FAST diseases that will be used to design and/or monitor risk-based strategies for FAST Control;  ,"develop, frameworks, analyze, socioeconomic, impacts, FAST, diseases, used, design, and/or, monitor, risk-based, strategies, FAST, Control, ;"
234,Socio Impact Analysis ENG,design a suitable studies to generate data to assess the socioeconomic impacts of FAST and control plans;  ,"design, suitable, studies, generate, data, assess, socioeconomic, impacts, FAST, control, plans, ;"
235,Socio Impact Analysis ENG,apply what they have learned to the development of a risk-based strategies for FAST control. ,"apply, learned, development, risk-based, strategies, FAST, control, ."
236,Socio Impact Analysis ENG,analyze results generated by impact studies; ,"analyze, results, generated, impact, studies, ;"
237,Socio Impact Analysis FRA,use analytical tools and methods to investigate social and economic impacts of FAST and to assess economic justification of control plans and specific control measures;  ,"use, analytical, tools, methods, investigate, social, economic, impacts, FAST, assess, economic, justification, control, plans, specific, control, measures, ;"
238,Socio Impact Analysis FRA,interpret the outcomes of impact studies and report accordingly;  ,"interpret, outcomes, impact, studies, report, accordingly, ;"
239,Socio Impact Analysis FRA,develop a frameworks to analyze the socioeconomic impacts of FAST diseases that will be used to design and/or monitor risk-based strategies for FAST Control;  ,"develop, frameworks, analyze, socioeconomic, impacts, FAST, diseases, used, design, and/or, monitor, risk-based, strategies, FAST, Control, ;"
240,Socio Impact Analysis FRA,design a suitable studies to generate data to assess the socioeconomic impacts of FAST and control plans;  ,"design, suitable, studies, generate, data, assess, socioeconomic, impacts, FAST, control, plans, ;"
241,Socio Impact Analysis FRA,apply what they have learned to the development of a risk-based strategies for FAST control. ,"apply, learned, development, risk-based, strategies, FAST, control, ."
242,Socio Impact Analysis FRA,analyze results generated by impact studies; ,"analyze, results, generated, impact, studies, ;"
243,UTC3,Explain the pathogenesis of FMD.,"Explain, pathogenesis, FMD, ."
244,UTC3,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
245,UTC3,Explain how to enter and leave a premises suspected of FMD in a biosecure manner.,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ."
246,UTC3,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected.,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected, ."
247,UTC3,"Describe the clinical signs of FMD in cattle, small ruminants and pigs.","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ."
248,UTC3,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
249,UTC3,Describe how to age FMD lesions.,"Describe, age, FMD, lesions, ."
250,ASF Canada FR/EN,recognize the clinical signs of ASF;,"recognize, clinical, signs, ASF, ;"
251,ASF Canada FR/EN,explain which samples should be taken to enable laboratory diagnosis of ASF;,"explain, samples, taken, enable, laboratory, diagnosis, ASF, ;"
252,ASF Canada FR/EN,explain the role of wild boar in transmission of ASF in Europe.,"explain, role, wild, boar, transmission, ASF, Europe, ."
253,ASF Canada FR/EN,explain how to conduct an outbreak investigation in case of ASF;,"explain, conduct, outbreak, investigation, case, ASF, ;"
254,ASF Canada FR/EN,explain how to adapt on-farm biosecurity on a premises to minimize risk of introduction of ASF;,"explain, adapt, on-farm, biosecurity, premises, minimize, risk, introduction, ASF, ;"
255,ASF Canada FR/EN,"describe the most important control measures that would be implemented in the case of an ASF outbreak, in domestic pigs;","describe, important, control, measures, would, implemented, case, ASF, outbreak, ,, domestic, pigs, ;"
256,ASF Canada FR/EN,describe the global significance of ASF;,"describe, global, significance, ASF, ;"
257,CIRAD collection of information animal mobility,"Spatio-temporal dynamics: retrospective analysis of movements during the last years, and localization of areas involved in livestock production, trade and transformation","Spatio-temporal, dynamics, :, retrospective, analysis, movements, last, years, ,, localization, areas, involved, livestock, production, ,, trade, transformation"
258,CIRAD collection of information animal mobility,"Identify and map the stakeholders in animal health and production, and identify possible interactions between them","Identify, map, stakeholders, animal, health, production, ,, identify, possible, interactions"
259,CIRAD collection of information animal mobility,Development of a survey protocol for monitoring “hotspot” locations.,"Development, survey, protocol, monitoring, “, hotspot, ”, locations, ."
260,"Culling, disposal, cleaning and disinfection multicountry",Recall the legal framework and its main requirements for disposal of carcasses and contaminated waste.,"Recall, legal, framework, main, requirements, disposal, carcasses, contaminated, waste, ."
261,"Culling, disposal, cleaning and disinfection multicountry",Recall the legal and practical considerations and challenges faced to implement cleaning and disinfection.,"Recall, legal, practical, considerations, challenges, faced, implement, cleaning, disinfection, ."
262,"Culling, disposal, cleaning and disinfection multicountry",List the different methods available for disposal of carcasses.,"List, different, methods, available, disposal, carcasses, ."
263,"Culling, disposal, cleaning and disinfection multicountry","List the different methods and equipment that are allowed to be used to cull cattle, small ruminants and pigs.","List, different, methods, equipment, allowed, used, cull, cattle, ,, small, ruminants, pigs, ."
264,"Culling, disposal, cleaning and disinfection multicountry","Estimate the resources, including human resources, needed for disposal of carcasses.","Estimate, resources, ,, including, human, resources, ,, needed, disposal, carcasses, ."
265,"Culling, disposal, cleaning and disinfection multicountry","Estimate the resources, including human resources, needed for depopulation.","Estimate, resources, ,, including, human, resources, ,, needed, depopulation, ."
266,"Culling, disposal, cleaning and disinfection multicountry",Describe the principles to be considered for cleaning and disinfection of an infected farm.,"Describe, principles, considered, cleaning, disinfection, infected, farm, ."
267,"Culling, disposal, cleaning and disinfection multicountry","Describe the main aspects that the culling process for cattle, small ruminants and pigs affected by an acute and very contagious disease should comprise, particularly considering animal welfare and biosecurity aspects.","Describe, main, aspects, culling, process, cattle, ,, small, ruminants, pigs, affected, acute, contagious, disease, comprise, ,, particularly, considering, animal, welfare, biosecurity, aspects, ."
268,"Culling, disposal, cleaning and disinfection multicountry",Describe the different considerations to be taken when deciding upon a method for the disposal of carcasses.,"Describe, different, considerations, taken, deciding, upon, method, disposal, carcasses, ."
269,EuFMD/ANSES laboratory training workshop for SEEN Countries,Validation of test runs;,"Validation, test, runs, ;"
270,EuFMD/ANSES laboratory training workshop for SEEN Countries,Sampling plan; ,"Sampling, plan, ;"
271,EuFMD/ANSES laboratory training workshop for SEEN Countries,"Properly interpret tests results, make a critical analysis and produce a consistent report;","Properly, interpret, tests, results, ,, make, critical, analysis, produce, consistent, report, ;"
272,EuFMD/ANSES laboratory training workshop for SEEN Countries,Interpretation of the results and test reporting.,"Interpretation, results, test, reporting, ."
273,EuFMD/ANSES laboratory training workshop for SEEN Countries,"Improve knowledge on designing and implementing sero-surveillance studies, including:","Improve, knowledge, designing, implementing, sero-surveillance, studies, ,, including, :"
274,EuFMD/ANSES laboratory training workshop for SEEN Countries,Describe the criteria for test results validation; ,"Describe, criteria, test, results, validation, ;"
275,EuFMD/ANSES laboratory training workshop for SEEN Countries,"Describe and manage all the critical points that can affect quality of the laboratory diagnostic service (starting from sample reception and processing, to testing and interpretation of results)","Describe, manage, critical, points, affect, quality, laboratory, diagnostic, service, (, starting, sample, reception, processing, ,, testing, interpretation, results, )"
276,EuFMD/ANSES laboratory training workshop for SEEN Countries,Appropriate tests to be used;,"Appropriate, tests, used, ;"
277,EuFMD/ANSES laboratory training workshop for SEEN Countries, Select the appropriate laboratory tests and diagnostic workflow according to objectives and constraints;,"Select, appropriate, laboratory, tests, diagnostic, workflow, according, objectives, constraints, ;"
278,EuFMD/ANSES laboratory training workshop for SEEN Countries," Describe the principles and testing procedures of different laboratory techniques (virological, molecular and serological);","Describe, principles, testing, procedures, different, laboratory, techniques, (, virological, ,, molecular, serological, ), ;"
279,FAST diseases wildlife surveillance (three weeks),Summarise the measures to be implemented in case of a FAST disease outbreak in wildlife in the European Union (EU) and other countries that have experienced FAST disease outbreaks;,"Summarise, measures, implemented, case, FAST, disease, outbreak, wildlife, European, Union, (, EU, ), countries, experienced, FAST, disease, outbreaks, ;"
280,FAST diseases wildlife surveillance (three weeks),Provide examples of the impact of FAST diseases in wildlife;,"Provide, examples, impact, FAST, diseases, wildlife, ;"
281,FAST diseases wildlife surveillance (three weeks),Explain and apply principles of epidemiological surveillance of FAST diseases in wildlife.,"Explain, apply, principles, epidemiological, surveillance, FAST, diseases, wildlife, ."
282,FAST diseases wildlife surveillance (three weeks),Describe the role of wildlife in FAST disease transmission;,"Describe, role, wildlife, FAST, disease, transmission, ;"
283,FDCM Psychological aspects and communication with the public during an outbreak,"Summarise the ethics theories (contractualism, utilitarianism, relational, animal rights and respect for nature).","Summarise, ethics, theories, (, contractualism, ,, utilitarianism, ,, relational, ,, animal, rights, respect, nature, ), ."
284,FDCM Psychological aspects and communication with the public during an outbreak,"Select appropriate communication techniques to carry out an effective epidemiological survey, in a compassionate manner considering the stress under which farmers might be.","Select, appropriate, communication, techniques, carry, effective, epidemiological, survey, ,, compassionate, manner, considering, stress, farmers, might, ."
285,FDCM Psychological aspects and communication with the public during an outbreak,Reflect on ethical dilemmas and conflicts.,"Reflect, ethical, dilemmas, conflicts, ."
286,FDCM Psychological aspects and communication with the public during an outbreak,Interpret mental health needs in other people.,"Interpret, mental, health, needs, people, ."
287,FDCM Psychological aspects and communication with the public during an outbreak,Identify own mental health needs.,"Identify, mental, health, needs, ."
288,FDCM Psychological aspects and communication with the public during an outbreak,"Identify good practices on mental health, resilience and communication to be included in the contingency plans, and other relevant procedures, at national level.","Identify, good, practices, mental, health, ,, resilience, communication, included, contingency, plans, ,, relevant, procedures, ,, national, level, ."
289,FDCM Psychological aspects and communication with the public during an outbreak,Assess tools to manage stress and anxiety and build resilience.,"Assess, tools, manage, stress, anxiety, build, resilience, ."
290,FDCM Psychological aspects and communication with the public during an outbreak,"Assess the effectiveness of crisis communication approaches to be used when interacting with different stakeholders, including the farmer, the press and considering the use of the social networks.","Assess, effectiveness, crisis, communication, approaches, used, interacting, different, stakeholders, ,, including, farmer, ,, press, considering, use, social, networks, ."
291,FEPC Belgium (Flemish/French) (four-week course),expliquer comment réaliser correctement des prélèvements permettant au laboratoire de confirmer un diagnostic de FA ;,"expliquer, comment, réaliser, correctement, des, prélèvements, permettant, au, laboratoire, de, confirmer, un, diagnostic, de, FA, ;"
292,FEPC Belgium (Flemish/French) (four-week course),"expliquer comment entrer et sortir d’une exploitation suspecte d’être un foyer de FA, dans les respects stricts des précautions de biosécurité ;","expliquer, comment, entrer, et, sortir, ’, une, exploitation, suspecte, ’, être, un, foyer, de, FA, ,, dans, les, respects, stricts, des, précautions, de, biosécurité, ;"
293,FEPC Belgium (Flemish/French) (four-week course),expliquer comment conduire une enquête épidémiologique dans une ferme où la FA,"expliquer, comment, conduire, une, enquête, épidémiologique, dans, une, ferme, où, la, FA"
294,FEPC Belgium (Flemish/French) (four-week course),définir un âge pour les lésions observées ;,"définir, un, âge, pour, les, lésions, observées, ;"
295,FEPC Belgium (Flemish/French) (four-week course),"décrire les signes cliniques présentés par les bovins, petits ruminants et porcs ;","décrire, les, signes, cliniques, présentés, par, les, bovins, ,, petits, ruminants, et, porcs, ;"
296,FEPC Belgium (Flemish/French) (four-week course),décrire les aspects critiques des mesures de contrôle appliquées dans un foyer de FA en cas d’émergence dans un pays précédemment indemne de la maladie.,"décrire, les, aspects, critiques, des, mesures, de, contrôle, appliquées, dans, un, foyer, de, FA, en, cas, ’, émergence, dans, un, pays, précédemment, indemne, de, la, maladie, ."
297,FEPC Belgium (Flemish/French) (four-week course),comprendre et expliquer la pathogenèse de la FA ;,"comprendre, et, expliquer, la, pathogenèse, de, la, FA, ;"
298,FEPC Calgary,explain the pathogenesis of FMD;,"explain, pathogenesis, FMD, ;"
299,FEPC Calgary,explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
300,FEPC Calgary,explain how to enter and leave a premises suspected of FMD in a biosecure manner;,"explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
301,FEPC Calgary,explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed;,"explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
302,FEPC Calgary,"describe the clinical signs of FMD in cattle, small ruminants and pigs;","describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ;"
303,FEPC Calgary,describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
304,FEPC Calgary,describe how to age FMD lesions;,"describe, age, FMD, lesions, ;"
305,FEPC multicountry (EN_11),explain the pathogenesis of FMD;,"explain, pathogenesis, FMD, ;"
306,FEPC multicountry (EN_11),explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
307,FEPC multicountry (EN_11),explain how to enter and leave a premises suspected of FMD in a biosecure manner;,"explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
308,FEPC multicountry (EN_11),explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed;,"explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
309,FEPC multicountry (EN_11),"describe the clinical signs of FMD in cattle, small ruminants and pigs;","describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ;"
310,FEPC multicountry (EN_11),describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
311,FEPC multicountry (EN_11),describe how to age FMD lesions;,"describe, age, FMD, lesions, ;"
312,FEPC National course: English (UK_4) ,explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
313,FEPC National course: English (UK_4) ,explain how to enter and leave a premises suspected of FMD in a biosecure manner;,"explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
314,FEPC National course: English (UK_4) ,explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed;,"explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
315,FEPC National course: English (UK_4) ,describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
316,FITC Turkey,Outline the key features of the Progressive Control Pathway for FMD Control (PCP-FMD) ,"Outline, key, features, Progressive, Control, Pathway, FMD, Control, (, PCP-FMD, )"
317,FITC Turkey,Explain which samples should be collected to enable laboratory diagnosis of FMD ,"Explain, samples, collected, enable, laboratory, diagnosis, FMD"
318,FITC Turkey,Explain the pathogenesis of FMD ,"Explain, pathogenesis, FMD"
319,FITC Turkey,Explain the key requirements for a successful vaccination programme for FMD,"Explain, key, requirements, successful, vaccination, programme, FMD"
320,FITC Turkey,Explain how to enter and leave a premise suspected of FMD in a biosecure manner ,"Explain, enter, leave, premise, suspected, FMD, biosecure, manner"
321,FITC Turkey,"Explain how to diagnose FMD in cattle, small ruminants and pigs ","Explain, diagnose, FMD, cattle, ,, small, ruminants, pigs"
322,FITC Turkey,Explain how to conduct an epidemiological investigation on a premise where FMD is suspected ,"Explain, conduct, epidemiological, investigation, premise, FMD, suspected"
323,FITC Turkey,Describe how to age FMD lesions ,"Describe, age, FMD, lesions"
324,"FMD Investigation Training - adapted EuFMD course for the region, adapted EuFMD course for the region, VLC RAP",Summarize the advantages and disadvantages of available control measures for LSD;,"Summarize, advantages, disadvantages, available, control, measures, LSD, ;"
325,"FMD Investigation Training - adapted EuFMD course for the region, adapted EuFMD course for the region, VLC RAP",explain the pathogenesis of FMD;,"explain, pathogenesis, FMD, ;"
326,"FMD Investigation Training - adapted EuFMD course for the region, adapted EuFMD course for the region, VLC RAP",Explain the main consideration in the implementation of vaccination programmes to control LSD.,"Explain, main, consideration, implementation, vaccination, programmes, control, LSD, ."
327,"FMD Investigation Training - adapted EuFMD course for the region, adapted EuFMD course for the region, VLC RAP",Explain how to design surveillance programmes for LSD;,"Explain, design, surveillance, programmes, LSD, ;"
328,"FMD Investigation Training - adapted EuFMD course for the region, adapted EuFMD course for the region, VLC RAP",Explain how to conduct an epidemiological investigation on a premises suspected of LSD;,"Explain, conduct, epidemiological, investigation, premises, suspected, LSD, ;"
329,"FMD Investigation Training - adapted EuFMD course for the region, adapted EuFMD course for the region, VLC RAP","describe the clinical signs of FMD in cattle, small ruminants and pigs;","describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ;"
330,"FMD Investigation Training - adapted EuFMD course for the region, adapted EuFMD course for the region, VLC RAP",Describe key epidemiological features of LSD to include risk factors and routes of transmission;,"Describe, key, epidemiological, features, LSD, include, risk, factors, routes, transmission, ;"
331,"FMD Investigation Training - adapted EuFMD course for the region, adapted EuFMD course for the region, VLC RAP",describe how to age FMD lesions;,"describe, age, FMD, lesions, ;"
332,"Iceland Culling, disposal, cleaning and disinfection workshop",Recall the legal framework and its main requirements for disposal of carcasses and contaminated waste.,"Recall, legal, framework, main, requirements, disposal, carcasses, contaminated, waste, ."
333,"Iceland Culling, disposal, cleaning and disinfection workshop",List the different methods available for disposal of carcasses.,"List, different, methods, available, disposal, carcasses, ."
334,"Iceland Culling, disposal, cleaning and disinfection workshop",List the different methods and equipment that are allowed to be used to cull cattle and pigs.,"List, different, methods, equipment, allowed, used, cull, cattle, pigs, ."
335,"Iceland Culling, disposal, cleaning and disinfection workshop","Estimate the resources, including human resources, needed for depopulation.","Estimate, resources, ,, including, human, resources, ,, needed, depopulation, ."
336,"Iceland Culling, disposal, cleaning and disinfection workshop","Describe the main aspects that a procedure for culling of cattle, small ruminants and pigs with an acute and very contagious disease should comprise, particularly considering animal welfare and biosecurity aspects.","Describe, main, aspects, procedure, culling, cattle, ,, small, ruminants, pigs, acute, contagious, disease, comprise, ,, particularly, considering, animal, welfare, biosecurity, aspects, ."
337,"Iceland Culling, disposal, cleaning and disinfection workshop",Describe the different considerations to be taken when deciding upon a method for the disposal of carcasses.,"Describe, different, considerations, taken, deciding, upon, method, disposal, carcasses, ."
338,Improving surveillance N Africa Spain funded,Elaborate a list of actions to improve FAST early detection/surveillance system in your country (Day Three)  ,"Elaborate, list, actions, improve, FAST, early, detection/surveillance, system, country, (, Day, Three, )"
339,Improving surveillance N Africa Spain funded,Elaborate a communication network within/between country(ies) (Day Two)  ,"Elaborate, communication, network, within/between, country, (, ies, ), (, Day, Two, )"
340,Improving surveillance N Africa Spain funded, Identify the strengths and weaknesses of the actual FAST early detection/ surveillance system of your country (Day one)  ,"Identify, strengths, weaknesses, actual, FAST, early, detection/, surveillance, system, country, (, Day, one, )"
341,Lab diagnostic ANSES workshop,"Properly interpret tests results, make a critical analysis and produce a consistent report","Properly, interpret, tests, results, ,, make, critical, analysis, produce, consistent, report"
342,Lab diagnostic ANSES workshop,Know the appropriate laboratory tests for a diagnostic and prioritize them according to objectives and constraints,"Know, appropriate, laboratory, tests, diagnostic, prioritize, according, objectives, constraints"
343,Lab diagnostic ANSES workshop,Improve knowledge on the various aspects of the conduction of a sero-surveillance study,"Improve, knowledge, various, aspects, conduction, sero-surveillance, study"
344,Lab diagnostic ANSES workshop,Describe the criteria for test results validation; ,"Describe, criteria, test, results, validation, ;"
345,Lab diagnostic ANSES workshop,"Describe the basics and steps of different types of laboratory analysis, namely virological, molecular and serological analyses","Describe, basics, steps, different, types, laboratory, analysis, ,, namely, virological, ,, molecular, serological, analyses"
346,Lab diagnostic ANSES workshop,"Describe and manage the critical points of all steps to achieve a quality laboratory diagnostic, from the reception of samples to results validation and analysis reports edition","Describe, manage, critical, points, steps, achieve, quality, laboratory, diagnostic, ,, reception, samples, results, validation, analysis, reports, edition"
347,Laboratory contingency planning,"Improved understanding on the principles, structure and the key issues to be addressed in the process of preparing or revising laboratory contingency plans","Improved, understanding, principles, ,, structure, key, issues, addressed, process, preparing, revising, laboratory, contingency, plans"
348,Laboratory contingency planning,"Improved understanding of the importance of simulation exercises (Simex) for the preparedness planning, and familiarization with the process of Simex planning and implementation ","Improved, understanding, importance, simulation, exercises, (, Simex, ), preparedness, planning, ,, familiarization, process, Simex, planning, implementation"
349,Lumpy Skin Disease - VLC RAP,Summarize the advantages and disadvantages of available control measures for LSD;,"Summarize, advantages, disadvantages, available, control, measures, LSD, ;"
350,Lumpy Skin Disease - VLC RAP,Explain the main consideration in the implementation of vaccination programmes to control LSD.,"Explain, main, consideration, implementation, vaccination, programmes, control, LSD, ."
351,Lumpy Skin Disease - VLC RAP,Explain how to design surveillance programmes for LSD;,"Explain, design, surveillance, programmes, LSD, ;"
352,Lumpy Skin Disease - VLC RAP,Explain how to conduct an epidemiological investigation on a premises suspected of LSD;,"Explain, conduct, epidemiological, investigation, premises, suspected, LSD, ;"
353,Lumpy Skin Disease - VLC RAP,Describe key epidemiological features of LSD to include risk factors and routes of transmission;,"Describe, key, epidemiological, features, LSD, include, risk, factors, routes, transmission, ;"
354,PVM workshop SEEN,"agree on needs for improved PVM implementation and roles of national veterinary services, EuFMD and regional cooperation in addressing these needs.","agree, needs, improved, PVM, implementation, roles, national, veterinary, services, ,, EuFMD, regional, cooperation, addressing, needs, ."
355,PVM workshop SEEN, provide a forum for participants to present and discuss national case studies on PVM; ,"provide, forum, participants, present, discuss, national, case, studies, PVM, ;"
356,PVM workshop SEEN, identify priority activities to improve national PVM; ,"identify, priority, activities, improve, national, PVM, ;"
357,PVM workshop SEEN," enable participants to better plan, implement, monitor and evaluate vaccination programmes for FAST diseases; ","enable, participants, better, plan, ,, implement, ,, monitor, evaluate, vaccination, programmes, FAST, diseases, ;"
358,Risk Mapping CIRAD ME N Africa,Use the national animal mobility database to estimate the social network centrality metrics using R programming language and interpret results ,"Use, national, animal, mobility, database, estimate, social, network, centrality, metrics, using, R, programming, language, interpret, results"
359,Risk Mapping CIRAD ME N Africa,Understand the principles of spatial qualitative risk assessment and multicriteria decision analysis and use the relevant risk factors for FAST diseases,"Understand, principles, spatial, qualitative, risk, assessment, multicriteria, decision, analysis, use, relevant, risk, factors, FAST, diseases"
360,Risk Mapping CIRAD ME N Africa,Know the principles of risk mapping (data and spatial queries) using the QGIS software.,"Know, principles, risk, mapping, (, data, spatial, queries, ), using, QGIS, software, ."
361,Risk Mapping CIRAD ME N Africa,Know the basics of R programming language.,"Know, basics, R, programming, language, ."
362,Risk Mapping CIRAD ME N Africa,Know the basic social network centrality metrics and interpret the results in the context of introduction and spread of FAST diseases.,"Know, basic, social, network, centrality, metrics, interpret, results, context, introduction, spread, FAST, diseases, ."
363,Risk Mapping CIRAD ME N Africa,Be comfortable with the use of the mapMCDA tool for mapping the risks of spread and estimate the uncertainty.,"Be, comfortable, use, mapMCDA, tool, mapping, risks, spread, estimate, uncertainty, ."
364,Risk Mapping CIRAD ME N Africa,Be able to use a collaborative Lizmap platform for visualization of regional/national spatial data,"Be, able, use, collaborative, Lizmap, platform, visualization, regional/national, spatial, data"
365,Risk Mapping CIRAD ME N Africa,Be able to create a national animal mobility database for further social network analysis of animal mobility.,"Be, able, create, national, animal, mobility, database, social, network, analysis, animal, mobility, ."
366,Risk Mapping CIRAD ME N Africa,"Be able to adapt conventional FAST disease surveillance to the risk, in connection with the maps produced.","Be, able, adapt, conventional, FAST, disease, surveillance, risk, ,, connection, maps, produced, ."
367,Risk Mapping CIRAD ME N Africa,"Apply newly acquired knowledge, tools and skills in a national qualitative analysis of the risk of introduction and the risk of spread for FAST diseases, including FMD.","Apply, newly, acquired, knowledge, ,, tools, skills, national, qualitative, analysis, risk, introduction, risk, spread, FAST, diseases, ,, including, FMD, ."
368,Safe Trade Pakistan (induction),Explain when sanitary measures should be required from a trading partner;,"Explain, sanitary, measures, required, trading, partner, ;"
369,Safe Trade Pakistan (induction),Explain the role of risk analysis in safe trade;,"Explain, role, risk, analysis, safe, trade, ;"
370,Safe Trade Pakistan (induction),"Explain the different types of zones described in the Terrestrial Code, and how zoning can be used to facilitate disease control and trade;","Explain, different, types, zones, described, Terrestrial, Code, ,, zoning, used, facilitate, disease, control, trade, ;"
371,Safe Trade Pakistan (induction),"Explain some socio-economic considerations to safe trade (e.g. role of cost-benefit analysis, public-private partnerships etc.).","Explain, socio-economic, considerations, safe, trade, (, e.g, ., role, cost-benefit, analysis, ,, public-private, partnerships, etc, ., ), ."
372,Safe Trade Pakistan (induction),Explain how to use the OIE Standards (e.g. Terrestrial Animal Health Code) to identify appropriate sanitary measures; ,"Explain, use, OIE, Standards, (, e.g, ., Terrestrial, Animal, Health, Code, ), identify, appropriate, sanitary, measures, ;"
